"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-M10"
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP07.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Transport","Period average, Year-over-year (YOY) percent change","Annual","Units","5.046658434947074","","","","","","","","","","","","","","","","","11.85528814018533","","","","","","","","","","","","","","","","","17.31071126675526","","","","","","","","","","","","","","","","","25.07077049770964","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP11.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Restaurants and hotels","Period average, Period-over-period percent change","Annual","Units","3.758171604511213","","","","","","","","","","","","","","","","","18.58824980997268","","","","","","","","","","","","","","","","","44.82656564460744","","","","","","","","","","","","","","","","","35.58670862794789","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","5.214049405130415","","","","","","","","","","","","","","","","","13.8956609775178","","","","","","","","","","","","","","","","","33.88477631155459","","","","","","","","","","","","","","","","","28.27058993220828","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP12.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Miscellaneous goods and services","Period average, Year-over-year (YOY) percent change","Annual","Units","6.221984467557547","","","","","","","","","","","","","","","","","10.58122147671815","","","","","","","","","","","","","","","","","27.13254593175858","","","","","","","","","","","","","","","","","21.89419354838709","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP10.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Education","Period average, Year-over-year (YOY) percent change","Annual","Units","17.90416126033782","","","","","","","","","","","","","","","","","12.34360168040704","","","","","","","","","","","","","","","","","8.270247107556063","","","","","","","","","","","","","","","","","16.83377308707124","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP06.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Health","Period average, Period-over-period percent change","Annual","Units","3.646271266147961","","","","","","","","","","","","","","","","","5.834016964409508","","","","","","","","","","","","","","","","","17.4758574758575","","","","","","","","","","","","","","","","","27.00266455014451","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP12.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Miscellaneous goods and services","Period average, Period-over-period percent change","Annual","Units","6.221984467557547","","","","","","","","","","","","","","","","","10.58122147671815","","","","","","","","","","","","","","","","","27.13254593175858","","","","","","","","","","","","","","","","","21.89419354838709","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP03.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Clothing and footwear","Period average, Period-over-period percent change","Annual","Units","2.237163941861191","","","","","","","","","","","","","","","","","9.784565926172676","","","","","","","","","","","","","","","","","19.88460455952706","","","","","","","","","","","","","","","","","24.58621903979346","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP09.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Recreation and culture","Period average, Period-over-period percent change","Annual","Units","9.284893988307775","","","","","","","","","","","","","","","","","24.81683822832171","","","","","","","","","","","","","","","","","26.15442439862545","","","","","","","","","","","","","","","","","45.626729091296","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP10.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Education","Index","Annual","Units","155.7943642379455","","","","","","","","","","","","","","","","","175.025","","","","","","","","","","","","","","","","","189.5","","","","","","","","","","","","","","","","","221.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP11.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Restaurants and hotels","Period average, Year-over-year (YOY) percent change","Annual","Units","3.758171604511213","","","","","","","","","","","","","","","","","18.58824980997268","","","","","","","","","","","","","","","","","44.82656564460744","","","","","","","","","","","","","","","","","35.58670862794789","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP07.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Transport","Period average, Period-over-period percent change","Annual","Units","5.046658434947074","","","","","","","","","","","","","","","","","11.85528814018533","","","","","","","","","","","","","","","","","17.31071126675526","","","","","","","","","","","","","","","","","25.07077049770964","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","113.6639729926915","","","","","","","","","","","","","","","","","129.4583333333333","","","","","","","","","","","","","","","","","173.325","","","","","","","","","","","","","","","","","222.325","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Annual","Units","5.214049405130415","","","","","","","","","","","","","","","","","13.8956609775178","","","","","","","","","","","","","","","","","33.88477631155459","","","","","","","","","","","","","","","","","28.27058993220828","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP07.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Transport","Index","Annual","Units","123.3885933883554","","","","","","","","","","","","","","","","","138.0166666666666","","","","","","","","","","","","","","","","","161.9083333333333","","","","","","","","","","","","","","","","","202.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP09.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Recreation and culture","Index","Annual","Units","124.3421978980911","","","","","","","","","","","","","","","","","155.2","","","","","","","","","","","","","","","","","195.7916666666667","","","","","","","","","","","","","","","","","285.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP11.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Restaurants and hotels","Index","Annual","Units","118.7160899658494","","","","","","","","","","","","","","","","","140.7833333333334","","","","","","","","","","","","","","","","","203.8916666666666","","","","","","","","","","","","","","","","","276.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP06.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Health","Period average, Year-over-year (YOY) percent change","Annual","Units","3.646271266147961","","","","","","","","","","","","","","","","","5.834016964409508","","","","","","","","","","","","","","","","","17.4758574758575","","","","","","","","","","","","","","","","","27.00266455014451","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP08.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Communication","Period average, Period-over-period percent change","Annual","Units","0.4927744754392106","","","","","","","","","","","","","","","","","0.7909389419230832","","","","","","","","","","","","","","","","","1.50150150150147","","","","","","","","","","","","","","","","","14.79289940828409","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP02.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Period average, Period-over-period percent change","Annual","Units","5.299500980057399","","","","","","","","","","","","","","","","","7.932833732723512","","","","","","","","","","","","","","","","","43.91200319021665","","","","","","","","","","","","","","","","","54.81457534752696","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP05.POP_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Period average, Period-over-period percent change","Annual","Units","3.127129208286295","","","","","","","","","","","","","","","","","13.48367400890604","","","","","","","","","","","","","","","","","37.80537737136623","","","","","","","","","","","","","","","","","27.21600475388736","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP05.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Index","Annual","Units","107.6072551696582","","","","","","","","","","","","","","","","","122.1166666666666","","","","","","","","","","","","","","","","","168.2833333333333","","","","","","","","","","","","","","","","","214.0833333333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP08.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Communication","Index","Annual","Units","104.6224999062282","","","","","","","","","","","","","","","","","105.45","","","","","","","","","","","","","","","","","107.0333333333333","","","","","","","","","","","","","","","","","122.8666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP02.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Period average, Year-over-year (YOY) percent change","Annual","Units","5.299500980057399","","","","","","","","","","","","","","","","","7.932833732723512","","","","","","","","","","","","","","","","","43.91200319021665","","","","","","","","","","","","","","","","","54.81457534752696","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP05.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Period average, Year-over-year (YOY) percent change","Annual","Units","3.127129208286295","","","","","","","","","","","","","","","","","13.48367400890604","","","","","","","","","","","","","","","","","37.80537737136623","","","","","","","","","","","","","","","","","27.21600475388736","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP08.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Communication","Period average, Year-over-year (YOY) percent change","Annual","Units","0.4927744754392106","","","","","","","","","","","","","","","","","0.7909389419230832","","","","","","","","","","","","","","","","","1.50150150150147","","","","","","","","","","","","","","","","","14.79289940828409","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP02.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Index","Annual","Units","116.1679249928922","","","","","","","","","","","","","","","","","125.3833333333333","","","","","","","","","","","","","","","","","180.4416666666666","","","","","","","","","","","","","","","","","279.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP12.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Miscellaneous goods and services","Index","Annual","Units","114.8477094971669","","","","","","","","","","","","","","","","","127","","","","","","","","","","","","","","","","","161.4583333333334","","","","","","","","","","","","","","","","","196.8083333333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI.CP09.YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","Recreation and culture","Period average, Year-over-year (YOY) percent change","Annual","Units","9.284893988307775","","","","","","","","","","","","","","","","","24.81683822832171","","","","","","","","","","","","","","","","","26.15442439862545","","","","","","","","","","","","","","","","","45.626729091296","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.SRP_IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","318.9364813082664","","","","","","","","","","","","","","","","","363.2548134844875","","","","","","","","","","","","","","","","","486.342894474661","","","","","","","","","","","","","","","","","623.8348998360248","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.SRP_YOY_PCH_PA_PT.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Period average, Year-over-year (YOY) percent change","Annual","Units","5.214049405130425","","","","","","","","","","","","","","","","","13.89566097751779","","","","","","","","","","","","","","","","","33.88477631155461","","","","","","","","","","","","","","","","","28.27058993220827","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
